Fiber_index,ROI1_index,ROI2_index,ROI_Pair_index,ROI_Pair_Fiber,ROI1_Name,ROI2_Name,Net1_Name,Net2_Name,ROIName_Pair,Network_Pair,Orig_index,LowICC,FiberLen,Curvature
1,1,3,1_3,1_3_1,L_V1,L_V6,Visual1,Visual2,L_V1-L_V6,Visual1-Visual2,1_3_1,FALSE,18.44426346,0.160838259
2,1,3,1_3,1_3_2,L_V1,L_V6,Visual1,Visual2,L_V1-L_V6,Visual1-Visual2,1_3_2,FALSE,24.36344337,0.119655003
3,1,3,1_3,1_3_3,L_V1,L_V6,Visual1,Visual2,L_V1-L_V6,Visual1-Visual2,1_3_3,FALSE,32.94243622,0.121479888
4,1,4,1_4,1_4_1,L_V1,L_V2,Visual1,Visual2,L_V1-L_V2,Visual1-Visual2,1_4_1,FALSE,16.56781387,0.160985319
5,1,4,1_4,1_4_2,L_V1,L_V2,Visual1,Visual2,L_V1-L_V2,Visual1-Visual2,1_4_2,TRUE,11.55193329,0.282810318
6,1,4,1_4,1_4_3,L_V1,L_V2,Visual1,Visual2,L_V1-L_V2,Visual1-Visual2,1_4_3,FALSE,11.69379044,0.270830805
7,1,4,1_4,1_4_4,L_V1,L_V2,Visual1,Visual2,L_V1-L_V2,Visual1-Visual2,1_4_4,FALSE,14.05016518,0.284871341
8,1,4,1_4,1_4_5,L_V1,L_V2,Visual1,Visual2,L_V1-L_V2,Visual1-Visual2,1_4_5,FALSE,10.98756981,0.316545066
9,1,4,1_4,1_4_6,L_V1,L_V2,Visual1,Visual2,L_V1-L_V2,Visual1-Visual2,1_4_6,FALSE,13.05314159,0.272760155
10,1,4,1_4,1_4_7,L_V1,L_V2,Visual1,Visual2,L_V1-L_V2,Visual1-Visual2,1_4_7,TRUE,11.68919849,0.373773433
11,1,4,1_4,1_4_8,L_V1,L_V2,Visual1,Visual2,L_V1-L_V2,Visual1-Visual2,1_4_8,FALSE,13.19662189,0.147321931
12,1,4,1_4,1_4_9,L_V1,L_V2,Visual1,Visual2,L_V1-L_V2,Visual1-Visual2,1_4_9,FALSE,11.79730415,0.288557744
