X,ROI_Pair,Network_Pair,Network_Pair_Index,Reproducibility_rfMRI
1,Pair_1_2,Network_1_2,2,0.414814195
2,Pair_1_3,Network_1_2,2,0.380643928
3,Pair_2_3,Network_2_2,13,0.468964557
4,Pair_1_4,Network_1_2,2,0.334788681
5,Pair_2_4,Network_2_2,13,0.48681769
6,Pair_3_4,Network_2_2,13,0.408246813
7,Pair_1_5,Network_1_2,2,0.344035446
8,Pair_2_5,Network_2_2,13,0.4975078
9,Pair_3_5,Network_2_2,13,0.416889556
10,Pair_4_5,Network_2_2,13,0.394771553
11,Pair_1_6,Network_1_2,2,0.321952071
12,Pair_2_6,Network_2_2,13,0.491343358
13,Pair_3_6,Network_2_2,13,0.342763641
14,Pair_4_6,Network_2_2,13,0.340941259
15,Pair_5_6,Network_2_2,13,0.356975817
16,Pair_1_7,Network_1_2,2,0.452420911
17,Pair_2_7,Network_2_2,13,0.465038311
18,Pair_3_7,Network_2_2,13,0.412501788
19,Pair_4_7,Network_2_2,13,0.504097012
20,Pair_5_7,Network_2_2,13,0.525510701
21,Pair_6_7,Network_2_2,13,0.484052647
22,Pair_1_8,Network_1_3,3,0.229887889
23,Pair_2_8,Network_2_3,14,0.371838974
24,Pair_3_8,Network_2_3,14,0.345398458
25,Pair_4_8,Network_2_3,14,0.282236906
26,Pair_5_8,Network_2_3,14,0.293788917
27,Pair_6_8,Network_2_3,14,0.277030788
28,Pair_7_8,Network_2_3,14,0.272162498
29,Pair_1_9,Network_1_3,3,0.255059131
30,Pair_2_9,Network_2_3,14,0.404447335
31,Pair_3_9,Network_2_3,14,0.370086872
32,Pair_4_9,Network_2_3,14,0.301916463
33,Pair_5_9,Network_2_3,14,0.319206376
34,Pair_6_9,Network_2_3,14,0.301064273
35,Pair_7_9,Network_2_3,14,0.294262525
36,Pair_8_9,Network_3_3,24,0.486241447
37,Pair_1_10,Network_1_4,4,0.325666037
38,Pair_2_10,Network_2_4,15,0.447234002
39,Pair_3_10,Network_2_4,15,0.473666089
40,Pair_4_10,Network_2_4,15,0.375872825
41,Pair_5_10,Network_2_4,15,0.393897783
42,Pair_6_10,Network_2_4,15,0.392148377
43,Pair_7_10,Network_2_4,15,0.413811349
44,Pair_8_10,Network_3_4,25,0.426545853
45,Pair_9_10,Network_3_4,25,0.450900591
46,Pair_1_11,Network_1_5,5,0.39130831
47,Pair_2_11,Network_2_5,16,0.476982295
48,Pair_3_11,Network_2_5,16,0.469752336
49,Pair_4_11,Network_2_5,16,0.420270867
50,Pair_5_11,Network_2_5,16,0.402472276
51,Pair_6_11,Network_2_5,16,0.43728031
52,Pair_7_11,Network_2_5,16,0.405615391
53,Pair_8_11,Network_3_5,26,0.35090142
54,Pair_9_11,Network_3_5,26,0.338338509
55,Pair_10_11,Network_4_5,35,0.505479283
56,Pair_1_12,Network_1_6,6,0.331692708
57,Pair_2_12,Network_2_6,17,0.405078062
58,Pair_3_12,Network_2_6,17,0.430875707
59,Pair_4_12,Network_2_6,17,0.347008122
60,Pair_5_12,Network_2_6,17,0.357454744
61,Pair_6_12,Network_2_6,17,0.346429853
62,Pair_7_12,Network_2_6,17,0.352640651
63,Pair_8_12,Network_3_6,27,0.47378368
64,Pair_9_12,Network_3_6,27,0.463607906
65,Pair_10_12,Network_4_6,36,0.517348397
66,Pair_11_12,Network_5_6,44,0.547493052
67,Pair_1_13,Network_1_2,2,0.372666704
68,Pair_2_13,Network_2_2,13,0.502987787
69,Pair_3_13,Network_2_2,13,0.422905994
70,Pair_4_13,Network_2_2,13,0.417018795
71,Pair_5_13,Network_2_2,13,0.438407971
72,Pair_6_13,Network_2_2,13,0.376537169
73,Pair_7_13,Network_2_2,13,0.531277314
74,Pair_8_13,Network_3_2,14,0.322755519
75,Pair_9_13,Network_3_2,14,0.344214513
76,Pair_10_13,Network_4_2,15,0.406328933
77,Pair_11_13,Network_5_2,16,0.440980324
78,Pair_12_13,Network_6_2,17,0.372995446
79,Pair_1_14,Network_1_7,7,0.348467049
80,Pair_2_14,Network_2_7,18,0.322545589
81,Pair_3_14,Network_2_7,18,0.460883591
82,Pair_4_14,Network_2_7,18,0.353686084
83,Pair_5_14,Network_2_7,18,0.359135281
84,Pair_6_14,Network_2_7,18,0.344975312
85,Pair_7_14,Network_2_7,18,0.346084337
86,Pair_8_14,Network_3_7,28,0.286266249
87,Pair_9_14,Network_3_7,28,0.277360035
88,Pair_10_14,Network_4_7,37,0.307776248
89,Pair_11_14,Network_5_7,45,0.342363677
90,Pair_12_14,Network_6_7,52,0.332317468
91,Pair_13_14,Network_2_7,18,0.355215691
92,Pair_1_15,Network_1_7,7,0.392672976
93,Pair_2_15,Network_2_7,18,0.343526179
94,Pair_3_15,Network_2_7,18,0.546701125
95,Pair_4_15,Network_2_7,18,0.432717185
96,Pair_5_15,Network_2_7,18,0.436504828
97,Pair_6_15,Network_2_7,18,0.364938566
98,Pair_7_15,Network_2_7,18,0.417532251
99,Pair_8_15,Network_3_7,28,0.334986489
100,Pair_9_15,Network_3_7,28,0.320444081
101,Pair_10_15,Network_4_7,37,0.3961656
102,Pair_11_15,Network_5_7,45,0.393630425
103,Pair_12_15,Network_6_7,52,0.367301163
104,Pair_13_15,Network_2_7,18,0.443937607
105,Pair_14_15,Network_7_7,58,0.528255197
106,Pair_1_16,Network_1_2,2,0.388498676
107,Pair_2_16,Network_2_2,13,0.514000251
108,Pair_3_16,Network_2_2,13,0.414678775
109,Pair_4_16,Network_2_2,13,0.452814959
110,Pair_5_16,Network_2_2,13,0.464765375
111,Pair_6_16,Network_2_2,13,0.416270455
112,Pair_7_16,Network_2_2,13,0.519366474
113,Pair_8_16,Network_3_2,14,0.316106404
114,Pair_9_16,Network_3_2,14,0.336803858
115,Pair_10_16,Network_4_2,15,0.47410247
116,Pair_11_16,Network_5_2,16,0.527160372
117,Pair_12_16,Network_6_2,17,0.441354101
118,Pair_13_16,Network_2_2,13,0.495087864
119,Pair_14_16,Network_7_2,18,0.377251119
120,Pair_15_16,Network_7_2,18,0.452845433
121,Pair_1_17,Network_1_2,2,0.447092743
122,Pair_2_17,Network_2_2,13,0.52800787
123,Pair_3_17,Network_2_2,13,0.516679462
124,Pair_4_17,Network_2_2,13,0.544142054
125,Pair_5_17,Network_2_2,13,0.570173306
126,Pair_6_17,Network_2_2,13,0.548478934
127,Pair_7_17,Network_2_2,13,0.536046387
128,Pair_8_17,Network_3_2,14,0.321541595
129,Pair_9_17,Network_3_2,14,0.325635386
130,Pair_10_17,Network_4_2,15,0.492515835
131,Pair_11_17,Network_5_2,16,0.551793812
132,Pair_12_17,Network_6_2,17,0.477521231
133,Pair_13_17,Network_2_2,13,0.615313582
134,Pair_14_17,Network_7_2,18,0.360627808
135,Pair_15_17,Network_7_2,18,0.470467792
136,Pair_16_17,Network_2_2,13,0.593779983
137,Pair_1_18,Network_1_2,2,0.400985173
138,Pair_2_18,Network_2_2,13,0.428996765
139,Pair_3_18,Network_2_2,13,0.394982692
140,Pair_4_18,Network_2_2,13,0.440385181
141,Pair_5_18,Network_2_2,13,0.468588331
142,Pair_6_18,Network_2_2,13,0.460526952
143,Pair_7_18,Network_2_2,13,0.454579901
144,Pair_8_18,Network_3_2,14,0.32753551
145,Pair_9_18,Network_3_2,14,0.320206202
146,Pair_10_18,Network_4_2,15,0.411469
147,Pair_11_18,Network_5_2,16,0.349639242
148,Pair_12_18,Network_6_2,17,0.40134681
149,Pair_13_18,Network_2_2,13,0.442037333
150,Pair_14_18,Network_7_2,18,0.350608723
151,Pair_15_18,Network_7_2,18,0.373244293
152,Pair_16_18,Network_2_2,13,0.476985201
153,Pair_17_18,Network_2_2,13,0.451686686
154,Pair_1_19,Network_1_2,2,0.467737306
155,Pair_2_19,Network_2_2,13,0.487164196
156,Pair_3_19,Network_2_2,13,0.450054921
157,Pair_4_19,Network_2_2,13,0.52831543
158,Pair_5_19,Network_2_2,13,0.538762694
159,Pair_6_19,Network_2_2,13,0.542751328
160,Pair_7_19,Network_2_2,13,0.515185777
161,Pair_8_19,Network_3_2,14,0.286194453
162,Pair_9_19,Network_3_2,14,0.290300652
163,Pair_10_19,Network_4_2,15,0.439030307
164,Pair_11_19,Network_5_2,16,0.478798067
165,Pair_12_19,Network_6_2,17,0.367114749
166,Pair_13_19,Network_2_2,13,0.552829184
167,Pair_14_19,Network_7_2,18,0.262324006
168,Pair_15_19,Network_7_2,18,0.37598904
169,Pair_16_19,Network_2_2,13,0.583408134
170,Pair_17_19,Network_2_2,13,0.568909783
171,Pair_18_19,Network_2_2,13,0.431993197
172,Pair_1_20,Network_1_2,2,0.379135334
173,Pair_2_20,Network_2_2,13,0.476649165
174,Pair_3_20,Network_2_2,13,0.348705299
175,Pair_4_20,Network_2_2,13,0.417879816
176,Pair_5_20,Network_2_2,13,0.449963713
177,Pair_6_20,Network_2_2,13,0.466761744
178,Pair_7_20,Network_2_2,13,0.461964292
179,Pair_8_20,Network_3_2,14,0.281756675
180,Pair_9_20,Network_3_2,14,0.321923063
181,Pair_10_20,Network_4_2,15,0.379419006
182,Pair_11_20,Network_5_2,16,0.401945301
183,Pair_12_20,Network_6_2,17,0.32302911
184,Pair_13_20,Network_2_2,13,0.427663918
185,Pair_14_20,Network_7_2,18,0.30072124
186,Pair_15_20,Network_7_2,18,0.351240535
187,Pair_16_20,Network_2_2,13,0.455819932
188,Pair_17_20,Network_2_2,13,0.534609396
189,Pair_18_20,Network_2_2,13,0.465651316
190,Pair_19_20,Network_2_2,13,0.493389046
191,Pair_1_21,Network_1_2,2,0.400465775
192,Pair_2_21,Network_2_2,13,0.46406321
193,Pair_3_21,Network_2_2,13,0.368338324
